,Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week
0,1,Hello,Adele,8,2016-01-01,2016-01-01
1,2,Sorry,Justin Bieber,8,2016-01-01,2016-01-01
2,3,Hotline Bling,Drake,20,2016-01-01,2016-01-01
3,4,Love Yourself,Justin Bieber,5,2016-01-01,2016-01-01
4,5,What Do You Mean?,Justin Bieber,16,2016-01-01,2016-01-01
5,6,Same Old Love,Selena Gomez,14,2016-01-01,2016-01-01
6,7,The Hills,The Weeknd,30,2016-01-01,2016-01-01
7,8,Here,Alessia Cara,20,2016-01-01,2016-01-01
8,9,Stitches,Shawn Mendes,30,2016-01-01,2016-01-01
9,10,Like I'm Gonna Lose You,Meghan Trainor ft. John Legend,24,2016-01-01,2016-01-01
10,11,679,Fetty Wap ft. Remy Boyz,25,2016-01-01,2016-01-01
11,12,In The Night,The Weeknd,6,2016-01-01,2016-01-01
12,13,Jumpman,Drake & Future,13,2016-01-01,2016-01-01
13,14,On My Mind,Ellie Goulding,13,2016-01-01,2016-01-01
14,15,Can't Feel My Face,The Weeknd,28,2016-01-01,2016-01-01
15,16,Antidote,Travis Scott,15,2016-01-01,2016-01-01
16,17,Ex's & Oh's,Elle King,24,2016-01-01,2016-01-01
17,18,All I Want For Christmas Is You,Mariah Carey,13,2016-01-01,2016-01-01
18,19,Stressed Out,twenty one pilots,13,2016-01-01,2016-01-01
19,20,Don't,Bryson Tiller,12,2016-01-01,2016-01-01
20,21,Die A Happy Man,Thomas Rhett,13,2016-01-01,2016-01-01
21,22,White Iverson,Post Malone,15,2016-01-01,2016-01-01
22,23,Wildest Dreams,Taylor Swift,17,2016-01-01,2016-01-01
23,24,Mary Did You Know,Jordan Smith,1,2016-01-01,2016-01-01
24,25,Lean On,Major Lazer & DJ Snake ft. MO,37,2016-01-01,2016-01-01
25,26,Roses,The Chainsmokers ft. Rozes,9,2016-01-01,2016-01-01
26,27,Watch Me,Silento,43,2016-01-01,2016-01-01
27,28,Say It,Tory Lanez,9,2016-01-01,2016-01-01
28,29,Burning House,Cam,23,2016-01-01,2016-01-01
29,30,Confident,Demi Lovato,11,2016-01-01,2016-01-01
30,31,Trap Queen,Fetty Wap,48,2016-01-01,2016-01-01
