,Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week
0,1,All I Want For Christmas Is You,Mariah Carey,50,2022-01-01,2022-01-01
1,2,Rockin' Around The Christmas Tree,Brenda Lee,44,2022-01-01,2022-01-01
2,3,Jingle Bell Rock,Bobby Helms,41,2022-01-01,2022-01-01
3,4,A Holly Jolly Christmas,Burl Ives,25,2022-01-01,2022-01-01
4,5,Easy On Me,Adele,11,2022-01-01,2022-01-01
5,6,It's The Most Wonderful Time Of The Year,Andy Williams,26,2022-01-01,2022-01-01
6,7,Last Christmas,Wham!,24,2022-01-01,2022-01-01
7,8,Feliz Navidad,Jose Feliciano,19,2022-01-01,2022-01-01
8,9,Stay,The Kid LAROI & Justin Bieber,24,2022-01-01,2022-01-01
9,10,Sleigh Ride,The Ronettes,15,2022-01-01,2022-01-01
10,11,The Christmas Song (Merry Christmas To You),Nat King Cole,31,2022-01-01,2022-01-01
11,12,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,18,2022-01-01,2022-01-01
12,13,Underneath The Tree,Kelly Clarkson,14,2022-01-01,2022-01-01
13,14,Broadway Girls,Lil Durk ft. Morgan Wallen,1,2022-01-01,2022-01-01
14,15,Heat Waves,Glass Animals,49,2022-01-01,2022-01-01
15,16,Christmas (Baby Please Come Home),Darlene Love,11,2022-01-01,2022-01-01
16,17,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,11,2022-01-01,2022-01-01
17,18,Santa Tell Me,Ariana Grande,12,2022-01-01,2022-01-01
18,19,Rudolph The Red-Nosed Reindeer,Gene Autry,16,2022-01-01,2022-01-01
19,20,Happy Holiday / The Holiday Season,Andy Williams,12,2022-01-01,2022-01-01
20,21,White Christmas,Bing Crosby,24,2022-01-01,2022-01-01
21,22,Industry Baby,Lil Nas X & Jack Harlow,22,2022-01-01,2022-01-01
22,23,Shivers,Ed Sheeran,15,2022-01-01,2022-01-01
23,24,Need To Know,Doja Cat,28,2022-01-01,2022-01-01
24,25,Run Rudolph Run,Chuck Berry,13,2022-01-01,2022-01-01
25,26,Super Gremlin,Kodak Black,7,2022-01-01,2022-01-01
26,27,abcdefu,GAYLE,5,2022-01-01,2022-01-01
27,28,(There's No Place Like) Home For The Holidays,Perry Como,11,2022-01-01,2022-01-01
28,29,Cold Heart (PNAU Remix),Elton John & Dua Lipa,16,2022-01-01,2022-01-01
29,30,It's Beginning To Look A Lot Like Christmas,Michael Buble,9,2022-01-01,2022-01-01
30,31,Bad Habits,Ed Sheeran,26,2022-01-01,2022-01-01
31,32,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),7,2022-01-01,2022-01-01
32,33,Jingle Bells,Frank Sinatra,3,2022-01-01,2022-01-01
33,34,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,4,2022-01-01,2022-01-01
34,35,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,2,2022-01-01,2022-01-01
35,36,Wonderful Christmastime,Paul McCartney,6,2022-01-01,2022-01-01
36,37,Linus And Lucy (Peanuts Theme),Vince Guaraldi Trio,1,2022-01-01,2022-01-01
37,38,Good 4 U,Olivia Rodrigo,32,2022-01-01,2022-01-01
38,39,Ghost,Justin Bieber,13,2022-01-01,2022-01-01
