,Top_Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week,Duration,Loudness,Tempo,Tempo_Confidence,Meter,Meter_Confidence,Key,Key_Confidence,Mode,Mode_Confidence,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Speechiness,Valence,Artist_Genres
0,65,'Til You Can't,Cody Johnson,11,2021-10-22,2021-12-31,224.21333,-4.865,160.087,0.387,4.0,0.996,1.0,0.494,1.0,0.689,0.0513,0.501,0.815,0.0,0.106,0.0436,0.46,"['contemporary country', 'country', 'country road', 'texas country']"
1,91,'Tis The Damn Season,Taylor Swift,2,2021-01-01,2021-01-01,229.84,-8.193,145.916,0.362,4.0,0.72,5.0,0.693,1.0,0.585,0.735,0.575,0.434,6.59e-05,0.105,0.0312,0.348,['pop']
2,22,(There's No Place Like) Home For The Holidays,Perry Como,11,2021-01-01,2021-12-31,178.29333,-10.629,143.823,0.188,4.0,0.636,5.0,0.42,1.0,0.384,0.869,0.532,0.401,0.0,0.222,0.0525,0.45,"['adult standards', 'brill building pop', 'easy listening', 'vocal jazz']"
3,19,"1 Step Forward, 3 Steps Back",Olivia Rodrigo,4,2021-06-04,2021-06-25,163.58667,-12.627,168.884,0.065,4.0,0.736,2.0,0.771,1.0,0.75,0.941,0.473,0.203,0.0,0.126,0.102,0.419,['pop']
4,14,100.mil',J. Cole & Bas,2,2021-05-28,2021-06-04,337.48,-23.201,132.627,0.027,4.0,1.0,0.0,1.0,1.0,0.799,0.959,0.263,0.0301,0.178,0.0799,0.0361,0.097,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
5,68,2 Much,Justin Bieber,1,2021-04-02,2021-04-02,152.79646,-8.601,119.59,0.101,4.0,0.996,9.0,0.0,1.0,0.073,0.593,0.583,0.444,0.0,0.353,0.0456,0.167,"['canadian pop', 'pop']"
6,31,2040,Lil Baby & Lil Durk,2,2021-06-18,2021-06-25,192.92085,-4.067,150.046,0.478,4.0,0.863,11.0,0.445,1.0,0.446,0.0415,0.744,0.697,0.0,0.112,0.136,0.238,"['atl hip hop', 'atl trap', 'rap', 'trap']"
7,51,2055,Sleepy Hallow,17,2021-07-30,2021-11-19,123.98698,-5.865,80.511,0.0,4.0,1.0,6.0,0.354,0.0,0.515,0.492,0.829,0.512,0.0,0.12,0.187,0.638,"['brooklyn drill', 'nyc rap']"
8,52,22 (Taylor's Version),Taylor Swift,1,2021-11-26,2021-11-26,230.96,-5.62,103.984,0.725,4.0,1.0,7.0,0.793,1.0,0.643,0.000443,0.642,0.695,1.02e-05,0.0753,0.0281,0.642,['pop']
9,43,24,Kanye West,1,2021-09-10,2021-09-10,197.89832,-6.086,110.057,0.023,4.0,0.773,5.0,0.257,0.0,0.439,0.129,0.386,0.534,0.0,0.351,0.0389,0.343,"['chicago rap', 'rap']"
10,92,24 Hours,A Boogie Wit da Hoodie ft. Lil Durk,1,2021-06-04,2021-06-04,205.70245,-9.21,91.105,0.238,4.0,0.826,2.0,0.496,0.0,0.552,0.334,0.586,0.474,0.0,0.118,0.18,0.146,"['melodic rap', 'rap', 'trap']"
