,Top_Rank,Title,Artist,Weeks_in_hot-100,First_Week,Last_Week,Duration,Loudness,Tempo,Tempo_Confidence,Meter,Meter_Confidence,Key,Key_Confidence,Mode,Mode_Confidence,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Speechiness,Valence,Artist_Genres
0,18,'Til You Can't,Cody Johnson,36,2022-01-01,2022-06-25,224.21333,-4.865,160.087,0.387,4.0,0.996,1.0,0.494,1.0,0.689,0.0513,0.501,0.815,0.0,0.106,0.0436,0.46,"['contemporary country', 'country', 'country road', 'texas country']"
1,28,(There's No Place Like) Home For The Holidays,Perry Como,12,2022-01-01,2022-01-08,178.29333,-10.629,143.823,0.188,4.0,0.636,5.0,0.42,1.0,0.384,0.869,0.532,0.401,0.0,0.222,0.0525,0.45,"['adult standards', 'brill building pop', 'easy listening', 'vocal jazz']"
2,55,2 Be Loved (Am I Ready),Lizzo,13,2022-07-30,2022-11-19,187.10753,-4.111,155.932,0.701,4.0,1.0,7.0,0.398,1.0,0.512,0.0922,0.721,0.769,0.0,0.0817,0.105,0.915,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']"
3,50,23,Sam Hunt,20,2022-01-08,2022-05-21,179.72018,-5.138,98.004,0.489,4.0,1.0,3.0,0.478,1.0,0.543,0.0206,0.641,0.78,0.0,0.143,0.0852,0.693,"['contemporary country', 'country', 'country pop', 'country road']"
4,77,25 Million,Roddy Ricch,1,2022-01-01,2022-01-01,204.62599,-9.258,132.202,0.266,4.0,0.815,9.0,0.0,1.0,0.019,0.019,0.793,0.481,1.09e-06,0.139,0.124,0.395,"['melodic rap', 'rap', 'trap']"
5,28,25k Jacket,Gunna ft. Lil Baby,3,2022-01-22,2022-02-05,120.0,-6.854,115.013,0.749,4.0,1.0,5.0,0.461,0.0,0.595,0.16,0.903,0.537,0.0,0.129,0.283,0.737,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap']"
6,96,29,Demi Lovato,1,2022-09-03,2022-09-03,163.02766,-3.812,183.963,0.221,4.0,1.0,1.0,0.084,0.0,0.378,0.00507,0.322,0.698,0.0,0.249,0.0542,0.288,"['dance pop', 'pop', 'post-teen pop']"
7,86,2Hoo,YoungBoy Never Broke Again,1,2022-02-05,2022-02-05,166.84367,-8.349,162.185,0.036,4.0,1.0,9.0,0.0,1.0,0.243,0.283,0.761,0.493,0.0,0.216,0.532,0.655,"['baton rouge rap', 'trap']"
8,48,2step,Ed Sheeran ft. Lil Baby,15,2022-05-07,2022-08-13,163.44975,-5.867,95.055,0.627,4.0,1.0,4.0,0.344,0.0,0.377,0.138,0.693,0.643,0.0,0.108,0.0828,0.477,"['pop', 'uk pop']"
9,96,300 Blackout,Kodak Black,1,2022-11-12,2022-11-12,166.4941,-6.545,167.903,0.155,4.0,0.979,0.0,0.623,0.0,0.563,0.0198,0.669,0.741,0.0,0.223,0.316,0.396,"['florida rap', 'hip hop', 'melodic rap', 'miami hip hop', 'rap', 'trap']"
10,27,3AM On Glenwood,21 Savage,2,2022-11-19,2022-11-26,178.32866,-8.318,90.138,0.0,4.0,1.0,1.0,0.505,1.0,0.472,0.0533,0.475,0.692,6.49e-06,0.18,0.398,0.241,"['atl hip hop', 'rap']"
11,96,4KT Baby,YoungBoy Never Broke Again,1,2022-04-16,2022-04-16,137.14285,-6.466,167.962,0.46,4.0,1.0,6.0,0.599,0.0,0.596,0.0316,0.608,0.814,0.0,0.0959,0.447,0.654,"['baton rouge rap', 'trap']"
12,22,5 Foot 9,Tyler Hubbard,22,2022-06-25,2022-11-19,189.78036,-5.609,106.005,0.635,4.0,0.715,5.0,0.771,1.0,0.732,0.146,0.602,0.796,0.0,0.125,0.0465,0.53,"['contemporary country', 'country']"
13,88,54321,Offset,1,2022-09-03,2022-09-03,182.32558,-4.455,129.028,0.817,4.0,0.984,9.0,0.603,0.0,0.594,0.117,0.934,0.694,0.0,0.239,0.175,0.464,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'viral rap']"
14,100,7 Days,YoungBoy Never Broke Again,1,2022-08-20,2022-08-20,175.60976,-5.391,109.168,0.053,5.0,0.248,1.0,0.66,0.0,0.605,0.0623,0.556,0.808,0.0,0.196,0.428,0.788,"['baton rouge rap', 'trap']"
15,8,712PM,Future,3,2022-05-14,2022-05-28,173.18668,-6.409,146.971,0.765,4.0,1.0,5.0,0.666,0.0,0.708,0.0355,0.711,0.686,0.0,0.124,0.271,0.536,"['atl hip hop', 'rap', 'southern hip hop', 'trap']"
16,66,7500 OBO,Tim McGraw,8,2022-06-11,2022-07-30,221.4,-6.954,155.759,0.297,4.0,0.996,7.0,0.526,1.0,0.535,0.1,0.528,0.718,0.0,0.304,0.0337,0.51,"['contemporary country', 'country', 'country road']"
17,4,A Holly Jolly Christmas,Burl Ives,27,2022-01-01,2022-12-03,135.53333,-13.056,140.467,0.47,4.0,0.344,0.0,0.282,1.0,0.37,0.579,0.683,0.375,0.0,0.076,0.0303,0.888,"['adult standards', 'american folk revival']"
18,21,A Keeper,Drake,1,2022-07-02,2022-07-02,173.09737,-11.596,121.909,0.746,4.0,1.0,1.0,0.0,1.0,0.187,0.512,0.6,0.482,0.000104,0.115,0.0701,0.323,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
19,28,AA,Walker Hayes,24,2022-01-15,2022-07-02,189.56,-5.858,104.03,0.75,4.0,1.0,4.0,0.518,1.0,0.508,0.00354,0.634,0.764,0.0,0.337,0.0297,0.736,"['contemporary country', 'country', 'country road', 'modern country rock']"
20,1,About Damn Time,Lizzo,32,2022-04-30,2022-12-03,191.82204,-6.305,108.966,0.809,4.0,0.976,10.0,0.482,0.0,0.586,0.0995,0.836,0.743,0.0,0.335,0.0656,0.722,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']"
